2026-05-11 23:10:20,249 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:10:20,251 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:10:20,252 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:10:20,254 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:10:20,255 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:10:20,256 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:10:20,257 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:10:20,258 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:10:20,258 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:12:17,396 | INFO | lotofacil.dashboard | 🎰 Lotofácil Dashboard
2026-05-11 23:12:17,396 | INFO | lotofacil.dashboard | Servidor: http://0.0.0.0:5000
2026-05-11 23:12:17,396 | INFO | lotofacil.dashboard | Pressione Ctrl+C para parar.
2026-05-11 23:15:04,531 | INFO | lotofacil.dashboard | 🎰 Lotofácil Dashboard
2026-05-11 23:15:04,532 | INFO | lotofacil.dashboard | Servidor: http://0.0.0.0:5000
2026-05-11 23:15:04,532 | INFO | lotofacil.dashboard | Pressione Ctrl+C para parar.
2026-05-11 23:17:46,799 | INFO | lotofacil.dashboard | 🎰 Lotofácil Dashboard
2026-05-11 23:17:46,800 | INFO | lotofacil.dashboard | Servidor: http://0.0.0.0:5000
2026-05-11 23:17:46,800 | INFO | lotofacil.dashboard | Pressione Ctrl+C para parar.
2026-05-11 23:18:33,492 | INFO | lotofacil.dashboard | 🎰 Lotofácil Dashboard
2026-05-11 23:18:33,492 | INFO | lotofacil.dashboard | Servidor: http://0.0.0.0:5000
2026-05-11 23:18:33,493 | INFO | lotofacil.dashboard | Pressione Ctrl+C para parar.
2026-05-11 23:18:39,603 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:18:39,603 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:06,018 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:06,018 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:08,418 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:08,418 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:10,455 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:10,456 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:12,260 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:12,261 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:15,084 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:15,085 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:18,964 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:18,964 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:27,179 | INFO | lotofacil.dashboard | 🎰 Lotofácil Dashboard
2026-05-11 23:19:27,179 | INFO | lotofacil.dashboard | Servidor: http://0.0.0.0:5000
2026-05-11 23:19:27,179 | INFO | lotofacil.dashboard | Pressione Ctrl+C para parar.
2026-05-11 23:19:42,192 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:19:42,250 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
2026-05-11 23:19:42,252 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:42,252 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:48,911 | INFO | lotofacil.dashboard | REQ GET /api/commands from=127.0.0.1
2026-05-11 23:19:48,912 | INFO | lotofacil.dashboard | RES GET /api/commands status=200
2026-05-11 23:19:48,914 | INFO | lotofacil.dashboard | REQ GET /api/dados from=127.0.0.1
2026-05-11 23:19:48,941 | INFO | lotofacil.dashboard | RES GET /api/dados status=200
